,Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,description
0,ICBC,278.327,166.796,44.7572,3322.0429999999997,1,Financials,Major Banks,Asia,China,China,,Jiang Jianqing,http://www.forbes.com/companies/icbc/,0.0134727936995397,0.26833497206168,"Industrial and Commercial Bank of China Limited (Chinese: 中国工商银行; pinyin: Zhōngguó gōngshāng yínháng; abb. ICBC) is a multinational Chinese banking company.
Founded as a limited company on 1 January 1984, ICBC is a state-owned commercial bank. With capital provided by the Ministry of Finance of China, the bank's Tier 1 capital in 2013 was the largest of one thousand global banks, being the first bank headquartered in China to achieve this distinction in modern history. Subsequently, ranked the largest bank in the world 2017 and 2018, by total assets, (31 December 2018, US$4027.44 billion ), ICBC was positioned at 1st in The Banker's Top 1000 World Banks ranking, every year from 2012 to 2019, and first (2019) on the Forbes Global 2000 list of the world's biggest public companies."
1,China Construction Bank,212.945,130.47299999999998,37.0389,2698.925,2,Financials,Regional Banks,Asia,China,China,,Zhang Jianguo,http://www.forbes.com/companies/china-construction-bank/,0.0137235751271339,0.28388172265526196,"China Construction Bank Corporation (CCB) is one of the ""big four"" banks in the People's Republic of China. In 2015 CCB was the 2nd largest bank in the world by market capitalization and 6th largest company in the world. The bank has approximately 13,629 domestic branches. In addition, it maintains overseas branches in Barcelona, Frankfurt, Luxembourg, Hong Kong, Johannesburg, New York City, Seoul, Singapore, Tokyo, Melbourne, Kuala Lumpur, Sydney and Auckland, and a wholly owned subsidiary in London. Its total assets reached CN¥ 8.7 trillion in 2009. Its headquarters is in Xicheng District, Beijing.

"
2,Agricultural Bank of China,189.87900000000002,129.221,29.1245,2574.815,3,Financials,Regional Banks,Asia,China,China,,Zhang Yun,http://www.forbes.com/companies/agricultural-bank-of-china/,0.0113112980932611,0.225385192809218,"Agricultural Bank of China (ABC), also known as AgBank, is one of the ""Big Four"" banks in the People's Republic of China. It was founded in 1951, and has its headquarters in Dongcheng District, Beijing. It has branches throughout mainland China, Hong Kong, London, Tokyo, New York, Frankfurt, Sydney, Seoul, and Singapore.
ABC has 320 million retail customers, 2.7 million corporate clients, and nearly 24,000 branches. It is China's third largest lender by assets. ABC went public in mid-2010, fetching the world's biggest ever initial public offering (IPO) at the time, since overtaken by the Saudi Arabian state-run petroleum enterprise, Saudi Aramco. In 2011, it ranked eighth among the Top 1000 World Banks, by 2015, it ranked third in Forbes' 13th annual Global 2000 list and in 2017 it ranked fifth.

"
3,Bank of China,199.13,120.29700000000001,27.5268,2458.3360000000002,4,Financials,Major Banks,Asia,China,China,,Chen Siqing,http://www.forbes.com/companies/bank-of-china/,0.0111973302266248,0.228823661437941,"The Bank of China (Chinese: 中国银行; pinyin: Zhōngguó Yínháng; often abbreviated as 中行 or BOC) is one of the four biggest state-owned commercial banks in China. Bank of China is legally separate from its subsidiary Bank of China (Hong Kong), although they maintain close relations in management and administration and co-operate in several areas including reselling BOC's insurance and securities services.
It was founded in 1912 by the Republican government to replace the Daqing Bank. It is the second oldest bank in mainland China still in existence (after the Bank of Communications, founded in 1908). From its establishment until 1942, it issued banknotes on behalf of the Government along with the ""Big Four"" banks of the period: the Farmers Bank of China, Bank of Communications and Central Bank of the Republic of China. Its headquarters are in Xicheng District, Beijing.As of 31 December 2009, it was the second-largest lender in China overall, and the fifth-largest bank in the world by market capitalization value.As of end 2017, it was the fourth-largest bank in the world in terms of assets, ranked after the other three Chinese banks."
4,Berkshire Hathaway,354.81300000000005,194.673,19.872,534.618,5,Financials,Investment Services,North America,United States,Nebraska,Nebraska,Warren Buffett,http://www.forbes.com/companies/berkshire-hathaway/,0.0371704656408875,0.10207887072167199,"Berkshire Hathaway () is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States. The company wholly owns GEICO, Duracell, Dairy Queen, BNSF, Lubrizol, Fruit of the Loom, Helzberg Diamonds, Long & Foster, FlightSafety International, Pampered Chef, Forest River, and NetJets, and also owns 38.6% of Pilot Flying J; and significant minority holdings in public companies Kraft Heinz Company (26.7%), American Express (17.6%), The Coca-Cola Company (9.32%), Bank of America (11.65%), and Apple (5.4%).Beginning in 2016, the company acquired large holdings in the major US airline carriers, namely United Airlines, Delta Air Lines, Southwest Airlines, and American Airlines but sold all of its airline holdings early in 2020. Berkshire Hathaway has averaged an annual growth in book value of 19.0% to its shareholders since 1965 (compared to 9.7% from the S&P 500 with dividends included for the same period), while employing large amounts of capital, and minimal debt.The company is known for its control and leadership by Warren Buffett, who serves as chairman and chief executive, and by Charlie Munger, one of the company's vice-chairmen. In the early part of his career at Berkshire, Buffett focused on long-term investments in publicly traded companies, but more recently he has more frequently bought whole companies. Berkshire now owns a diverse range of businesses including confectionery, retail, railroads, home furnishings, encyclopedias, manufacturers of vacuum cleaners, jewelry sales, manufacture and distribution of uniforms, and several regional electric and gas utilities.
According to the Forbes Global 2000 list and formula, Berkshire Hathaway is the eighth-largest public company in the world, the tenth-largest conglomerate by revenue and the largest financial services company by revenue in the world.As of August 2020, Berkshire's Class B stock is the seventh-largest component of the S&P 500 Index (which is based on free-float market capitalization) and the company is famous for having the most expensive share price in history with Class A shares costing around $300,000 each. This is because there has never been a stock split in its Class A shares and Buffett stated in a 1984 letter to shareholders that he does not intend to split the stock."
5,JPMorgan Chase,225.451,97.81700000000001,21.219,2593.562,6,Financials,Major Banks,North America,United States,New York,New York,Jamie Dimon,http://www.forbes.com/companies/jpmorgan-chase/,0.008181412281642009,0.216925483300449,"JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company headquartered in New York City. JPMorgan Chase is ranked by S&P Global as the largest bank in the United States and the  5th largest bank in the world by total assets, with total assets of US$3.213 trillion. It is also the world's most valuable bank by market capitalization. JPMorgan Chase is incorporated in Delaware.As a ""Bulge Bracket"" bank, it is a major provider of various investment banking and financial services. It is one of America's Big Four banks, along with Bank of America, Citigroup, and Wells Fargo. JPMorgan Chase is considered to be a universal bank and a custodian bank. The J.P. Morgan brand, is used by the investment banking, asset management, private banking, private wealth management, and treasury services divisions. Fiduciary activity within private banking and private wealth management is done under the aegis of JPMorgan Chase Bank, N.A.—the actual trustee. The Chase brand is used for credit card services in the United States and Canada, the bank's retail banking activities in the United States, and commercial banking. Both the retail and commercial bank and the bank's corporate headquarters are currently located at 383 Madison Avenue in Midtown Manhattan, New York City, while the prior headquarters building directly across the street, 270 Park Avenue, is demolished and replaced with a new building. The current company was originally known as Chemical Bank, which acquired Chase Manhattan and assumed that company's name. The present company was formed in 2000, when Chase Manhattan Corporation merged with J.P. Morgan & Co. In October 2020 JPMorgan Chase declared that it begun to work on achieving carbon neutrality by 2050.As of 2020, the asset management arm of the bank has US$3.37 trillion in assets under management, while its investment and corporate bank arm holds US$31 trillion in assets under custody. At US$45.0 billion in assets under management, the hedge fund unit of JPMorgan Chase is the third largest hedge fund in the world."
6,Exxon Mobil,357.094,376.24,32.52,349.49300000000005,7,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Rex Tillerson,http://www.forbes.com/companies/exxon-mobil/,0.0930490739442564,0.086434190941952,"Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon, Mobil, Esso, and ExxonMobil Chemical. ExxonMobil is incorporated in New Jersey.One of the world's largest companies by revenue, ExxonMobil from 1996 to 2017 varied from the first to sixth largest publicly traded company by market capitalization. The company was ranked third globally in the Forbes Global 2000 list in 2016. ExxonMobil was the tenth most profitable company in the Fortune 500 in 2017. As of 2018, the company ranked second in the Fortune 500 rankings of the largest United States corporations by total revenue. Approximately 55.56% of the company's shares are held by institutions. As of March 2019, ExxonMobil's largest shareholders include The Vanguard Group (8.15%), BlackRock (6.61%), and State Street Corporation (4.83%).
ExxonMobil is one of the largest of the world's Big Oil companies. As of 2007, it had daily production of 3.921 million BOE (barrels of oil equivalent); but significantly smaller than a number of national companies. In 2008, this was approximately 3% of world production, which is less than several of the largest state-owned petroleum companies. When ranked by oil and gas reserves, it is 14th in the world—with less than 1% of the total. ExxonMobil's reserves were 20 billion BOE at the end of 2016 and the 2007 rates of production were expected to last more than 14 years. With 37 oil refineries in 21 countries constituting a combined daily refining capacity of 6.3 million barrels (1,000,000 m3), ExxonMobil is the seventh largest refiner in the world, a title that was also associated with Standard Oil since its incorporation in 1870.ExxonMobil had been criticized for its slow response to cleanup efforts after the 1989 Exxon Valdez oil spill in Alaska, considered to be one of the world's worst oil spills in terms of damage to the environment. ExxonMobil has a history of lobbying for climate change denial and against the scientific consensus that global warming is caused by the burning of fossil fuels. However, the company says that it has taken steps to minimise the environmental impact of its operations. The company has also been the target of accusations of improperly dealing with human rights issues, influence on American foreign policy, and its impact on the future of nations.

"
7,PetroChina,334.57800000000003,333.38599999999997,17.3883,387.714,8,Energy,Oil & Gas Operations,Asia,China,China,,Wang Dongjin,http://www.forbes.com/companies/petrochina/,0.0448482644423467,0.0521566592478388,"PetroChina Company Limited (simplified Chinese: 中国石油天然气股份有限公司; traditional Chinese: 中國石油天然氣股份有限公司) is a Chinese oil and gas company and is the listed arm of state-owned China National Petroleum Corporation (CNPC), headquartered in Dongcheng District, Beijing. The company is currently Asia's largest oil and gas producer and was China's second biggest oil producer in 2006. Traded in Hong Kong and New York, the mainland enterprise announced its plans to issue stock in Shanghai in November 2007, and subsequently entered the constituent of SSE 50 Index. In the 2020 Forbes Global 2000, PetroChina was ranked as the 32nd-largest public company in the world."
8,General Electric,253.5,148.451,15.218,648.349,9,Industrials,Conglomerates,North America,United States,Connecticut,Connecticut,Jeffrey Immelt,http://www.forbes.com/companies/general-electric/,0.0234719263853264,0.102511939966723,"The General Electric Company, or GEC, was a major UK-based industrial conglomerate involved in consumer and defence electronics, communications, and engineering. The company was founded in 1886, was Britain's largest private employer with over 250,000 employees in the 1980s, and at its peak in the 1990s, made profits of over £1 billion a year.In June 1998, GEC sold its share of the joint venture GEC-Alsthom on the Paris stock exchange. In December 1999, GEC's defence arm, Marconi Electronic Systems, was sold to British Aerospace, forming BAE Systems.
The rest of GEC, mainly telecommunications equipment manufacturing, continued as Marconi Communications. After buying several US telecoms manufacturers at the top of the market, losses following the bursting of the dot-com bubble in 2001 led to the restructuring in 2003 of Marconi plc into Marconi Corporation plc. In 2005, Ericsson acquired the bulk of that company. What was left of the business was renamed Telent."
9,Wells Fargo,278.27299999999997,90.40299999999999,23.057,1701.408,10,Financials,Major Banks,North America,United States,California,California,John Stumpf,http://www.forbes.com/companies/wells-fargo/,0.0135517171660178,0.255046845790516,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.The firm's primary subsidiary is national bank Wells Fargo Bank, N.A., which is incorporated in Delaware and designates its main office as Sioux Falls, South Dakota. It is the fourth largest bank in the US by total assets. Wells Fargo is ranked number 26 on the 2018 Fortune 500 rankings of the largest US corporations by total revenue.In July 2015, Wells Fargo became the world's largest bank by market capitalization, edging past ICBC, before slipping behind JPMorgan Chase in September 2016, in the wake of a scandal involving the creation of over  2 million fake bank accounts  and illegal manipulation of other accounts by Wells Fargo employees. Wells Fargo fell behind Bank of America to third by bank deposits in 2017 and behind Citigroup to fourth by total assets in 2018.Wells Fargo in its present form is a result of a merger between San Francisco–based Wells Fargo & Company and Minneapolis-based Norwest Corporation in 1998 and the subsequent 2008 acquisition of Charlotte-based Wachovia. Following the mergers, the company transferred its headquarters to Wells Fargo's headquarters in San Francisco and merged its operating subsidiary with Wells Fargo's operating subsidiary in Sioux Falls. Along with JPMorgan Chase, Bank of America, and Citigroup, Wells Fargo is one of the ""Big Four Banks"" of the United States. As of June 2018, it had 8,050 branches and 13,000 ATMs. In 2018 the company had operations in 35 countries with over 70 million customers globally.In February 2014, Wells Fargo was named the world's most valuable bank brand for the second consecutive year in The Banker and Brand Finance study of the top 500 banking brands. In 2016, Wells Fargo ranked 7th on the Forbes Global 2000 list of largest public companies in the world and ranked 27th on the Fortune 500 list of the largest companies in the US. In 2015, the company was ranked the 22nd most admired company in the world, and the 7th most respected company in the world. As of December 2018, the company had a Standard & Poors credit rating of A−. However, for a brief period in 2007, the company was the only AAA-rated bank, reflecting the highest credit rating from two firms.On February 2, 2018, the US Federal Reserve Bank barred Wells Fargo from growing its nearly US$2 trillion-asset base any further, based upon years of misconduct, until Wells Fargo fixes its internal problems to the satisfaction of the Federal Reserve. In April 2018, The Wall Street Journal reported that the US Department of Labor had launched a probe into whether Wells Fargo was pushing its customers into more expensive retirement plans as well as into retirement funds managed by Wells Fargo itself. Subsequently in May 2018, The Wall Street Journal reported that Wells Fargo's business banking group had improperly altered documents about business clients in 2017 and early 2018. In June 2018, Wells Fargo began retreating from retail banking in the Midwestern United States by announcing the sale of all its physical bank branch locations in Indiana, Michigan, and Ohio to Flagstar Bank."
